Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Markers,Segment id,
108,0,00:01:48,2023-07-11,16:52:25,1,97.09475549,2,0.616560962,8.235330569,0,0,0,0,0,71.88227366,69.02929288,28.30196953,0.047152852,0,0,28.7,0.003499377,28.7,,5,
109,0,00:01:49,2023-07-11,16:52:26,1,97.1060495,2,0.48017816,8.497852817,0,0,0,0,0,71.88227366,69.02929288,28.30196953,0.076153502,0,0,28.7,0.004461458,28.7,,5,
110,0,00:01:50,2023-07-11,16:52:27,1,97.12692644,2,0.373963127,8.595004297,0,0,0,0,0,71.88227366,69.02929288,28.30196953,0.074447571,0,0,28.7,0.005556166,28.7,,5,
111,0,00:01:51,2023-07-11,16:52:28,1,97.14950899,2,0.291242776,8.571396534,0,0,0,0,0,71.88227366,69.02929288,28.30196953,0.047957176,0,0,28.7,0.0064827,28.7,,5,
112,0,00:01:52,2023-07-11,16:52:29,1,97.16707318,2,0.419230374,8.470392879,0.51650335,1,0.28246277,0,1.09375,73.15442146,68.04855968,28.22872889,0.058854721,0,0,28.7,0.00691195,28.7,,5,
113,0,00:01:53,2023-07-11,16:52:30,1,97.17991199,2,0.430545873,8.394301895,0,0,0,0,0,73.15442146,68.04855968,28.22872889,0.066396511,0,0,28.7,0.006542794,28.7,,5,
114,0,00:01:54,2023-07-11,16:52:31,1,97.19268678,2,0.409685408,8.407966066,0.571141395,1,0.749623081,3.40625,2.625,73.15442146,68.04855968,28.22872889,0.026930165,0,0,28.7,0.005325691,28.7,,5,
115,0,00:01:55,2023-07-11,16:52:32,1,97.20500009,2,0.521461147,8.445953308,0,0,0,0,0,73.15442146,68.04855968,28.22872889,0.025579325,0,0,28.7,0.003560115,28.7,,5,
116,0,00:01:56,2023-07-11,16:52:33,1,97.2134617,2,0.40730157,8.509185436,0,0,0,0,0,72.13220448,68.19425403,28.80245581,0.009445982,0,0,28.7,0.001988304,28.7,,5,
117,0,00:01:57,2023-07-11,16:52:34,1,97.2133845,2,0.317206781,8.598050743,0,0,0,0,0,72.13220448,68.19425403,28.80245581,0.012636382,0,0,28.7,0.001220251,28.7,,5,
